Gene_identifier,Root-Control,Root-CS,Shoot-Control,Shoot-CS
Ca_00001,129.345,58.423,54.9581,56.4316
Ca_00002,0.0,0.0,0.0,0.0
Ca_00003,89.4981,22.1109,98.2096,86.7054
Ca_00004,22.4533,16.0979,13.739,14.7524
Ca_00004,0.851815,1.55271,0.642646,0.404746
Ca_00005,0.469439,0.0740627,0.284124,0.139697
Ca_00006,0.0,0.0,0.0,0.0
Ca_00007,0.0,0.0,0.0,0.0
Ca_00008,0.0,0.0,0.0,0.0
Ca_00009,0.0324868,0.0,0.0,0.0253333
Ca_00010,0.0,0.0,0.0,0.0
Ca_00011,61.8319,71.7327,97.6369,80.7045
Ca_00012,8.5184,7.16764,3.2532,2.65967
Ca_00013,25.2623,26.9208,23.8884,20.726
Ca_00014,5.39082,7.29212,5.38751,6.00966
Ca_00015,8.65817,7.65365,9.85349,9.26284
Ca_00016,6.65437,4.84264,12.3736,13.7889
Ca_00017,8.96448,12.2414,11.941,10.6055
Ca_00018,50.6749,49.4321,50.7842,46.2389
Ca_00019,3.92385,5.08921,5.43854,7.02285
Ca_00020,17.5472,11.5747,40.9676,46.0772
Ca_00021,32.0298,26.4999,37.8158,32.1525
Ca_00022,25.3654,32.2433,127.558,111.244
Ca_00023,36.1865,43.3306,52.4414,57.2138
Ca_00024,17.1089,22.679,13.2724,13.8512
Ca_00025,21.9614,31.4382,11.8644,13.8374
Ca_00026,18.8224,15.098,16.314,19.7549
Ca_00027,96.635,136.831,178.36,216.62
Ca_00028,0.0,0.0882711,0.115945,0.144362
Ca_00029,43.1209,31.0971,38.5007,32.877
Ca_00030,2.88244,2.8166,0.995362,1.49568
Ca_00031,100.463,92.1727,1747.66,2126.07
Ca_00032,100.463,92.1727,1747.66,2126.07
Ca_00033,32.5267,46.1182,14.8131,15.9451
Ca_00034,6.11201,8.12261,11.3536,11.1739
Ca_00035,1.79117,2.12359,8.27246,5.49046
Ca_00036,63.9169,53.9844,22.124,24.4552
Ca_00037,16.7291,22.0377,20.2554,24.0764
Ca_00038,2.17473,1.93814,0.992564,1.7727
Ca_00039,18.224,18.7297,47.641,51.5278
Ca_00040,26.1143,22.6918,7.37488,11.4111
Ca_00041,22.3153,23.0264,27.6786,23.2712
Ca_00042,1.84116,2.4331,3.48575,4.67327
Ca_00043,27.814,31.2466,22.1733,22.382
Ca_00044,0.0366342,0.489005,0.141321,0.579253
Ca_00045,0.0891438,0.0,0.0,0.0
Ca_00046,33.4644,46.2925,40.8084,30.3662
Ca_00047,15.0441,16.3962,26.9161,22.8317
Ca_00048,7.24971,9.59908,11.0689,11.2568
Ca_00049,5.05514,2.65888,16.1142,13.2474
Ca_00050,0.970336,0.499198,0.659782,0.67488
Ca_00051,47.0787,47.5937,38.751,31.3689
Ca_00052,23.4416,17.9025,22.4508,20.2604
Ca_00053,0.45172,0.196471,3.11245,4.01059
Ca_00054,1.77069,5.69377,7.9552,6.31693
Ca_00055,0.116847,0.0,0.151053,0.301345
Ca_00056,24.0536,5.22378,54.5949,48.997
Ca_00057,15.6321,15.0071,17.997,13.3965
Ca_00058,3.13784,2.72472,1.14309,1.25338
Ca_00059,2.48134,0.781108,3.49282,2.46699
Ca_00060,19.7985,25.4404,13.8493,11.547
Ca_00061,2.81208,3.44688,21.6388,16.8013
Ca_00062,12.3911,6.98713,16.4831,17.7321
Ca_00063,0.297119,0.0998117,0.799451,0.573594
Ca_00064,13.9078,19.4172,26.4732,23.4357
Ca_00065,6.92342,6.93624,10.5426,11.2996
Ca_00066,72.5325,55.6704,70.5142,74.7167
Ca_00067,1.23975,2.61284,2.65598,1.67887
Ca_00068,3.79617,3.75344,5.48087,4.87848
Ca_00069,51.0856,36.827,45.8232,45.6629
Ca_00070,6.47262,4.16308,10.6788,8.04721
Ca_00071,20.6986,19.0035,17.1852,20.1208
Ca_00072,0.295061,0.990585,0.784874,1.07459
Ca_00073,0.390863,0.404629,0.812617,0.345172
Ca_00074,0.0716553,0.488032,0.11185,0.0572542
Ca_00075,0.0,0.0,0.0,0.177612
Ca_00076,116.164,93.8493,63.8796,67.4469
Ca_00077,60.1282,67.6368,58.7062,63.3619
Ca_00078,8.05712,2.52221,3.23261,2.96206
Ca_00079,0.840662,0.228958,3.73254,2.04354
Ca_00080,0.0879945,0.691964,0.0,0.274058
Ca_00081,204.369,114.283,5.62287,10.8532
Ca_00082,311.716,416.671,305.729,301.536
Ca_00083,11.7595,63.0582,3.4286,9.7738
Ca_00084,24.9412,28.7896,32.0318,27.4394
Ca_00085,5.15916,3.16424,3.24545,2.93278
Ca_00086,0.349383,0.345501,0.13531,0.0991461
Ca_00087,0.0452172,0.0183259,0.0180354,0.0350896
Ca_00088,157.08,104.663,144.766,139.756
Ca_00089,157.08,104.663,144.766,139.756
Ca_00090,22.392,27.0841,6.40837,7.06134
Ca_00091,39.6432,83.0957,19.5127,21.391
Ca_00092,3.82572,6.68249,5.31318,3.94007
Ca_00093,10.1938,10.268,5.61943,3.60701
Ca_00094,0.169953,0.274747,3.66301,3.06256
Ca_00095,1.63275,2.49873,2.1072,1.86519
Ca_00096,64.2058,23.0322,79.1242,99.3705
Ca_00097,24.5015,6.9505,16.6053,18.8459
Ca_00098,0.98505,3.55568,2.2597,7.54191
Ca_00099,34.965,16.9309,20.1606,22.6203
Ca_00100,4.11096,4.65345,5.35064,4.431
Ca_00101,0.0745264,0.0583169,0.0,0.164247
Ca_00102,60.266,12.5388,9.96801,5.74333
Ca_00103,0.210225,0.217812,0.541705,0.336689
Ca_00104,0.0,0.242068,4.03663,1.83206
Ca_00105,15.3631,13.7006,7.64903,8.55063
Ca_00106,37.2631,27.148,19.1028,23.2527
Ca_00107,33.4929,40.1979,34.5483,41.4051
Ca_00107,1.13819,0.919433,0.855213,1.02548
Ca_00108,0.0,0.0,2.69658,1.62854
Ca_00109,9.26694,9.68951,6.17801,6.08279
Ca_00110,17.4241,17.1585,0.895263,1.80239
Ca_00111,7.96281,6.20797,0.263324,0.197512
Ca_00112,134.007,185.855,6.54172,6.58315
Ca_00113,220.935,665.252,7.93334,6.78073
Ca_00114,7.90148,33.0556,5.07168,8.25464
Ca_00115,68.7299,47.113,224.167,225.903
Ca_00116,68.7299,47.113,224.167,225.903
Ca_00117,30.4777,13.5962,5.77984,7.09236
Ca_00118,1.35083,0.564562,0.167228,0.16349
Ca_00119,1.06147,0.75076,0.680318,1.16221
Ca_00120,48.2978,57.3356,23.1067,38.6436
Ca_00121,16.7871,9.54998,35.1835,38.0945
Ca_00122,16.7871,9.54998,35.1835,38.0945
Ca_00123,52.7013,43.3418,50.7929,51.5509
Ca_00124,3.71061,7.5361,15.0112,11.0838
Ca_00125,261.757,227.542,91.9766,105.428
Ca_00126,128.522,85.9909,15.6877,12.4736
Ca_00127,0.0,0.0,0.0,0.0
Ca_00128,0.0,0.0,0.0,0.0
Ca_00129,0.0,0.0,0.0,0.0619843
Ca_00130,1.01731,0.779874,0.0,0.258914
Ca_00131,49.2996,55.992,65.2666,59.4836
Ca_00132,0.590627,0.739612,0.0774772,0.392474
Ca_00133,6.88849,4.06928,4.35678,3.70019
Ca_00134,0.1417,0.136669,1.48519,1.2328
Ca_00135,1.80937,4.14396,6.99941,4.21175
Ca_00136,43.243,37.8026,31.4847,30.1212
Ca_00137,8.1355,8.46912,9.0548,8.2662
Ca_00138,27.6572,6.53695,9.83409,9.22269
Ca_00139,13.8921,1.58713,0.137081,0.272736
Ca_00140,49.6118,35.6957,189.996,207.05
Ca_00141,7.73152,5.36457,4.48365,2.84308
Ca_00142,10.8794,10.3966,13.5336,18.2653
Ca_00143,11.1732,10.3707,7.43395,7.1299
Ca_00144,23.5038,32.1005,39.5984,45.2982
Ca_00145,23.5038,32.1005,39.5984,45.2982
Ca_00146,60.8966,88.8034,29.4106,38.4868
Ca_00147,37.3225,21.5145,8.54471,12.7505
Ca_00148,5.12119,7.27354,10.1316,8.615
Ca_00149,34.0041,125.182,34.6723,42.9631
Ca_00150,47.1111,45.9706,83.1666,81.3538
Ca_00151,16.2925,20.1165,13.0768,16.9405
Ca_00152,68.5932,21.4771,25.8398,16.8744
Ca_00153,9.10766,5.96232,2.42835,1.46641
Ca_00153,21.1382,5.57484,2.64381,1.47814
Ca_00154,28.0342,4.34341,6.9569,5.05139
Ca_00155,34.2184,44.6466,27.9046,23.476
Ca_00156,6.60469,9.71596,5.63861,5.45935
Ca_00157,62.3327,42.5891,41.9512,43.5618
Ca_00158,0.0806277,0.281055,0.43219,0.426149
Ca_00159,6.27849,8.04321,5.58652,5.25032
Ca_00160,6.6756,10.7098,5.84074,7.73156
Ca_00161,0.0342705,0.0,0.0532487,0.212234
Ca_00162,5.8468,7.49576,6.62781,6.05456
Ca_00163,8.62102,7.34029,8.05271,6.42451
Ca_00164,11.474,13.1526,12.5062,12.8439
Ca_00165,257.474,349.108,367.935,358.661
Ca_00166,0.0,0.0293005,0.116135,0.0569784
Ca_00167,10.1372,8.96044,10.786,7.81749
