Ca_ID,XLOC_ID,10685_AFL_C,10685_AFL_S,10685_AFR_C,10685_AFR_S,10685_BFL_C,10685_BFL_S,10685_BFR_C,10685_BFR_S
Ca_00011,XLOC_000171,0.0,2.46238,2.95741,3.84266,1.00111,2.8719,2.57502,2.30551
Ca_00022,XLOC_000180,1.37293,1.09418,4.43325,1.6643,1.68402,1.70159,3.57063,2.96295
Ca_00024,XLOC_000181,22.6174,8.25347,1.11881,2.84599,14.7877,19.4308,5.12089,0.0
Ca_00034,XLOC_001796,24.3323,25.676,28.8626,26.1418,21.0009,29.7425,34.6079,25.9141
Ca_00039,XLOC_000190,16.5269,16.3992,14.0115,30.3177,27.3785,12.2666,15.2511,23.4437
Ca_00040,XLOC_001799,13.1962,10.4131,22.3278,16.7386,14.5987,6.9452,26.0461,15.333
Ca_00042,XLOC_001800,111.86,155.628,87.8041,85.4984,216.213,190.153,96.352,91.9717
Ca_00054,XLOC_000196,10.838,7.83066,8.28484,4.83867,7.29433,8.61149,7.67634,5.67727
Ca_00056,XLOC_001808,49.1074,97.2182,8.80593,21.1449,70.7572,74.5963,8.61171,18.8023
Ca_00057,XLOC_001808,49.1074,97.2182,8.80593,21.1449,70.7572,74.5963,8.61171,18.8023
Ca_00060,XLOC_000199,23.2799,32.9086,16.9109,24.4045,36.3525,24.981,17.8282,26.1704
Ca_00063,XLOC_000200,6.55989,6.09507,19.8166,15.0876,8.30417,6.06811,19.2129,14.565
Ca_00070,XLOC_001815,51.7502,28.5962,20.5074,36.0019,81.9261,36.0583,29.962,37.0842
Ca_00080,XLOC_000210,21.8811,17.8911,4.47633,2.04581,37.8863,7.01318,4.67981,1.90122
Ca_00085,XLOC_001821,48.0299,54.0269,74.3234,76.9674,46.3447,66.2263,71.1434,75.7893
Ca_00092,XLOC_001823,0.0,0.0,0.0,0.0,0.0,5.15781,0.0,0.0
Ca_00094,XLOC_001824,0.0,0.0,0.0,0.0,0.0,22.3294,0.0,0.0
Ca_00095,XLOC_000221,2.42322,0.0,8.85419,3.4968,3.74515,1.34607,9.67713,3.27783
Ca_00097,XLOC_001826,95.6461,61.6153,67.941,65.1219,89.1722,29.8952,78.386,67.3995
Ca_00101,XLOC_001830,0.0,0.0,2.04074,0.0,0.0,1.7963,1.41405,0.0
Ca_00102,XLOC_001831,1.03118,1.78901,5.33826,44.0953,2.2493,14.0303,4.72109,43.8188
Ca_00103,XLOC_000222,137.958,161.218,152.857,270.588,176.139,171.543,177.539,261.372
Ca_00104,XLOC_000224,4.21348,1.55415,4.70506,10.8691,7.52863,4.30862,3.67735,11.7714
Ca_00114,XLOC_000230,2.58226,0.0,3.26013,1.35636,1.88695,0.0,2.50593,1.82935
Ca_00115,XLOC_001839,32.9022,12.7625,10.2331,6.00928,40.851,8.79501,10.7634,6.52319
Ca_00121,XLOC_001842,74.304,139.704,25.0642,17.5791,63.2157,130.06,22.7461,12.1021
Ca_00124,XLOC_001844,580.54,735.615,25.1424,97.8253,805.673,294.588,33.0901,91.5541
Ca_00125,XLOC_001844,580.54,735.615,25.1424,97.8253,805.673,294.588,33.0901,91.5541
Ca_00129,XLOC_000239,7.92037,6.3739,7.46755,11.0539,8.90754,11.3833,9.1873,11.7997
Ca_00132,XLOC_000242,36.9125,54.4447,15.6777,18.1277,33.3333,59.3761,13.8006,17.8724
Ca_00133,XLOC_001849,16.938,20.6159,31.3299,91.482,23.7356,21.2642,37.9308,77.4568
Ca_00136,XLOC_000243,3.99174,12.7865,2.92433,5.46521,3.40619,11.2106,2.26549,7.41709
Ca_00160,XLOC_001863,36.984,9.61791,27.8795,13.6564,30.4328,9.1579,24.1403,10.2726
Ca_00165,XLOC_001866,0.0,0.0,52.0316,41.3564,0.0,0.0,52.7477,33.3776
Ca_00169,XLOC_000262,4.53642,5.30771,8.10214,3.92109,3.18393,6.72515,7.06433,5.77664
