test_id,gene,FPKM-DS-C,FPKM-DS-D,FPKM-DT-C,FPKM-DT-D
XLOC_000143,Ca_00001,0.0,0.0,0.0772384,0.0
XLOC_000144,Ca_00002,0.0,0.0,0.0,0.0
XLOC_000145,Ca_00003,52.6928,36.2355,47.908,37.8071
XLOC_001749,Ca_00004,11.3042,29.4433,10.4555,12.2994
XLOC_001750,Ca_00005,0.0,0.0,0.0,0.0
XLOC_000146,Ca_00006,29.0607,28.1501,33.8909,35.7693
XLOC_000147,Ca_00007,22.4583,35.9175,31.3653,27.2083
XLOC_001751,Ca_00008,15.0143,21.6966,13.0862,15.4061
XLOC_001752,Ca_00009,12.3641,16.0081,24.7873,11.6295
XLOC_000148,Ca_00010,42.2178,47.5811,44.9755,47.9712
XLOC_000149,Ca_00011,23.2077,15.5161,18.873,17.7599
XLOC_000150,Ca_00012,55.5862,45.0241,51.9556,48.8119
XLOC_000151,Ca_00013,0.33306,0.055061,0.298981,0.230219
XLOC_000152,Ca_00014,7.19054,10.1686,10.6028,7.30022
XLOC_000153,Ca_00015,0.0406473,0.148813,0.0705579,0.226646
XLOC_000154,Ca_00016,5.27754,10.8158,9.00639,5.82606
XLOC_000155,Ca_00017,12.0027,13.2427,11.4524,11.325
XLOC_001754,Ca_00018,25.9315,25.3797,23.6426,31.7383
XLOC_000156,Ca_00019,487.06,312.017,410.77,364.347
XLOC_000157,Ca_00020,0.0,0.0409512,0.0428542,0.055553
XLOC_001755,Ca_00021,8.06072,11.8673,10.3384,13.4966
XLOC_000158,Ca_00022,8.40363,7.83562,4.08957,6.44914
XLOC_001756,Ca_00023,12.9821,15.5579,17.0445,14.6044
XLOC_000159,Ca_00024,16.87,9.66966,21.1245,16.9992
XLOC_000160,Ca_00025,0.364257,0.444271,0.461247,0.441321
XLOC_001757,Ca_00026,81.9838,69.4688,87.179,81.6954
XLOC_001758,Ca_00027,44.0893,41.8872,52.8655,44.5692
XLOC_000161,Ca_00028,59.2822,56.6353,66.6547,75.8139
XLOC_001759,Ca_00029,4.39466,6.16127,5.75829,5.50132
XLOC_001760,Ca_00030,24.4859,40.0657,34.1448,34.5041
XLOC_000162,Ca_00031,7.8088,7.0825,7.01928,6.59039
XLOC_001761,Ca_00032,5.63477,7.62779,7.64464,6.34787
XLOC_000163,Ca_00033,8.31902,12.0016,12.7195,12.7279
XLOC_001762,Ca_00034,76.1606,66.2992,63.3745,76.8633
XLOC_000164,Ca_00035,26.5067,18.5004,20.3013,24.0708
XLOC_001763,Ca_00036,13.7224,15.0339,18.3748,17.4989
XLOC_001764,Ca_00037,55.0278,47.9075,42.6536,54.1066
XLOC_000165,Ca_00038,37.9769,40.54,48.1813,46.8759
XLOC_000166,Ca_00039,25.448,32.4593,22.6909,30.6459
XLOC_001765,Ca_00040,45.0664,52.2045,59.5535,46.9464
XLOC_000167,Ca_00041,24.0079,19.5182,23.2021,20.5264
XLOC_001766,Ca_00042,431.194,209.985,335.814,337.237
XLOC_000168,Ca_00043,0.0405277,0.0,0.0,0.0
XLOC_001767,Ca_00044,22.7175,21.968,22.1496,23.6396
XLOC_001768,Ca_00045,32.4434,36.1824,32.5511,32.2921
XLOC_000169,Ca_00046,1.58344,0.865306,2.43156,2.37493
XLOC_001769,Ca_00047,15.7338,17.7101,14.6097,17.0547
XLOC_001770,Ca_00048,55.8618,50.1741,64.9307,72.2658
XLOC_000170,Ca_00049,29.0383,30.9632,25.7878,32.1604
XLOC_001771,Ca_00050,8.82286,8.87363,9.42327,9.25065
XLOC_000171,Ca_00051,0.57029,0.960284,1.13176,1.12399
XLOC_001772,Ca_00052,44.6509,51.0074,46.0614,70.2799
XLOC_001772,Ca_00053,44.6509,51.0074,46.0614,70.2799
XLOC_000172,Ca_00054,19.3256,19.9998,24.1885,26.7454
XLOC_001773,Ca_00055,2.15162,1.17464,1.967,2.54718
XLOC_001774,Ca_00056,5.63532,4.98954,6.65792,5.87937
XLOC_001775,Ca_00057,31.5401,30.4256,35.8867,36.1188
XLOC_000174,Ca_00058,13.0778,17.2216,21.0215,19.8949
XLOC_001776,Ca_00059,1.44282,2.80872,1.42843,1.19754
XLOC_000175,Ca_00060,24.2797,29.0913,25.7706,24.4787
XLOC_001777,Ca_00061,0.0416069,0.0628369,0.0425312,0.135288
XLOC_001778,Ca_00062,0.0,0.0,0.180418,0.0
XLOC_000176,Ca_00063,39.6427,39.7449,37.1507,50.2118
XLOC_000177,Ca_00064,19.5496,28.0475,30.8637,29.0427
XLOC_000178,Ca_00065,9.08158,18.2004,14.784,13.5567
XLOC_000179,Ca_00066,9.01842,9.35915,11.7607,10.068
XLOC_001779,Ca_00067,3.28434,5.12883,4.11737,4.18196
XLOC_000180,Ca_00068,1.21524,1.29509,0.952481,0.492615
XLOC_001781,Ca_00069,60.4482,74.1796,54.1408,59.5301
XLOC_001782,Ca_00070,75.9142,46.7192,47.6404,54.2148
XLOC_000181,Ca_00071,1.80748,1.25813,1.10454,0.861446
XLOC_001783,Ca_00072,2.73974,2.15494,3.59419,4.50992
XLOC_000182,Ca_00073,0.0,0.0,0.0,0.10418
XLOC_001784,Ca_00074,6.10611,5.55666,5.4637,3.88416
XLOC_000183,Ca_00075,6.76939,11.635,11.8835,11.6927
XLOC_001785,Ca_00076,0.0,0.0,0.0,0.0
XLOC_000184,Ca_00077,2.08004,3.64486,2.34057,4.20469
XLOC_001786,Ca_00078,1.90717,2.68553,2.01891,2.55763
XLOC_001787,Ca_00079,16.4677,22.7503,21.6554,20.717
XLOC_000185,Ca_00080,13.5469,19.5102,17.5497,15.9526
XLOC_000186,Ca_00081,12.7582,15.9164,12.5233,13.6881
XLOC_000187,Ca_00082,0.0701824,0.0778391,0.13484,0.0955328
XLOC_000188,Ca_00083,19.3019,16.1372,19.6701,26.8806
XLOC_000189,Ca_00084,20.0079,18.4118,16.2665,15.8513
XLOC_001788,Ca_00085,104.877,81.194,82.2137,70.3893
XLOC_000190,Ca_00086,0.774728,1.50575,1.74722,1.36389
XLOC_000191,Ca_00087,4.11135,4.47995,5.20288,5.70835
XLOC_000192,Ca_00088,44.3672,58.3317,47.1192,41.9116
XLOC_000193,Ca_00089,13.4515,10.3351,9.69006,9.94822
XLOC_000194,Ca_00090,45.8624,37.1823,37.3501,37.1636
XLOC_001789,Ca_00091,23.5952,28.3515,40.8498,20.0011
XLOC_001790,Ca_00092,1.58448,1.37879,0.905943,1.53668
XLOC_000195,Ca_00093,0.262779,0.134746,0.312423,0.287526
XLOC_001791,Ca_00094,0.0,0.0,0.0,0.0842336
XLOC_000196,Ca_00095,9.0931,16.5225,11.3797,12.6229
XLOC_001792,Ca_00096,61.046,59.0761,57.7065,61.15
XLOC_001793,Ca_00097,1381.57,789.822,808.608,848.29
XLOC_001794,Ca_00098,5.69936,4.35129,4.99987,7.96297
XLOC_001795,Ca_00099,2.10629,0.971753,1.51356,0.147962
XLOC_001796,Ca_00100,2.42834,2.55977,1.12645,0.656883
XLOC_001797,Ca_00101,3.51966,4.90262,4.40056,4.9984
XLOC_001798,Ca_00102,16.5168,13.2429,64.1907,24.9701
XLOC_001799,Ca_00103,704.228,652.349,691.378,915.688
XLOC_000197,Ca_00104,288.988,206.719,232.18,249.261
XLOC_000198,Ca_00104,95.1964,47.0955,81.68,79.4349
XLOC_001800,Ca_00105,30.2125,23.6399,27.5337,33.6441
XLOC_000199,Ca_00106,7.05053,5.55676,6.21722,7.09292
XLOC_000200,Ca_00107,3.94507,4.13578,2.5502,2.78959
XLOC_000201,Ca_00108,0.0230532,0.0,0.0,0.0164881
XLOC_001801,Ca_00109,2827.96,1538.65,1795.37,1657.42
XLOC_001802,Ca_00110,9.27478,12.1789,9.75385,9.99642
XLOC_001803,Ca_00111,13.7327,23.8835,9.35607,16.9094
XLOC_000202,Ca_00112,3.21866,0.966634,4.0541,2.96059
XLOC_001804,Ca_00113,16.9377,16.0022,16.3231,26.1938
XLOC_000203,Ca_00114,57.9929,41.6781,27.7262,69.694
XLOC_001805,Ca_00115,41.9636,38.5391,71.9965,100.488
XLOC_000204,Ca_00116,120.37,99.0449,111.624,102.576
XLOC_001806,Ca_00117,25.7993,31.1509,23.176,32.573
XLOC_000205,Ca_00118,0.23899,0.548783,0.522598,0.400645
XLOC_001807,Ca_00119,10.878,11.5299,12.5979,12.4671
XLOC_000206,Ca_00120,3.35041,0.60319,3.00597,1.94834
XLOC_001808,Ca_00121,136.863,76.9678,124.26,90.9756
XLOC_001809,Ca_00122,1.14545,2.33115,3.09595,2.42729
XLOC_000207,Ca_00123,18.9589,12.6174,10.2804,9.79956
XLOC_001810,Ca_00124,84.8413,59.2905,67.8741,63.3266
XLOC_001811,Ca_00125,205.049,64.3632,427.028,65.9036
XLOC_000208,Ca_00126,2.18231,0.920438,1.62384,1.69022
XLOC_001812,Ca_00127,31.5769,56.869,47.8758,35.9347
XLOC_000210,Ca_00128,25.1384,32.5995,31.897,41.204
XLOC_000211,Ca_00129,14.5763,20.7229,21.9853,21.0402
XLOC_000212,Ca_00130,61.6252,55.4844,62.566,49.3062
XLOC_000213,Ca_00131,1.70032,1.13743,1.60863,3.24697
XLOC_000214,Ca_00132,166.15,117.436,102.336,93.5999
XLOC_001816,Ca_00133,239.456,273.01,216.133,275.056
XLOC_001817,Ca_00134,9.72144,13.0587,9.37014,10.5181
XLOC_001818,Ca_00135,11.2456,15.4161,15.3181,16.615
XLOC_000215,Ca_00136,79.1092,21.3529,138.367,32.1175
XLOC_001819,Ca_00137,46.553,41.8209,39.3556,42.0698
XLOC_000216,Ca_00138,21.0544,26.3712,26.5629,37.091
XLOC_000216,Ca_00139,21.0544,26.3712,26.5629,37.091
XLOC_000217,Ca_00140,4.93895,8.65532,4.35067,5.02437
XLOC_001820,Ca_00141,9.1678,9.59662,11.3026,14.313
XLOC_000218,Ca_00142,4.36556,2.13416,22.0257,4.75906
XLOC_000219,Ca_00143,999.939,283.183,1589.03,318.906
XLOC_000220,Ca_00144,25.5813,21.3042,35.2796,44.6119
XLOC_001821,Ca_00145,0.36077,0.0,0.0,0.180127
XLOC_000221,Ca_00146,25.311,20.1204,26.8533,23.6375
XLOC_000223,Ca_00147,0.0271326,0.0,0.0,0.0
XLOC_001822,Ca_00148,0.0870443,0.0,0.242178,0.0
XLOC_000224,Ca_00149,3.35763,5.03841,5.71785,5.12226
XLOC_001823,Ca_00150,16.1755,22.0517,21.9652,35.9868
XLOC_001824,Ca_00151,1180.03,689.67,611.276,847.352
XLOC_000225,Ca_00152,0.0,0.0754623,0.0,0.0824367
XLOC_001825,Ca_00153,121.204,67.6916,225.55,245.91
XLOC_001826,Ca_00154,24.8082,36.2597,25.9893,34.3723
XLOC_000226,Ca_00155,8.42891,12.0148,11.8878,10.0748
XLOC_000227,Ca_00156,61.5968,58.5816,57.8875,61.1557
XLOC_001827,Ca_00157,0.653742,0.991746,1.48435,0.891982
XLOC_001828,Ca_00158,99.6607,81.6337,82.2188,91.2963
XLOC_000228,Ca_00159,7.69195,9.39278,10.8493,9.46618
XLOC_001829,Ca_00160,85.1502,56.7767,44.7493,41.3498
XLOC_000229,Ca_00161,28.0469,31.0189,35.4115,36.6202
XLOC_001830,Ca_00162,0.0,0.17943,0.0,0.14088
XLOC_000230,Ca_00163,0.0,0.0,0.0,0.0
XLOC_001831,Ca_00164,179.583,142.482,174.57,173.849
XLOC_001832,Ca_00165,92.565,67.9788,50.0697,40.5153
XLOC_000231,Ca_00166,0.0369871,0.0403834,0.0,0.0312564
XLOC_000232,Ca_00167,0.178732,0.488276,0.345632,0.515626
XLOC_001833,Ca_00168,9.86729,9.14945,8.06759,13.7686
XLOC_000233,Ca_00169,11.2896,11.3477,13.6036,14.2758
XLOC_001834,Ca_00170,23.8508,24.3156,21.3986,24.7766
XLOC_001836,Ca_00171,37.9133,17.3139,44.4556,30.648
XLOC_000235,Ca_00172,13.14,13.3688,19.1764,14.0196
XLOC_000236,Ca_00173,31.6515,26.7245,33.0025,36.1349
XLOC_000237,Ca_00174,7.43154,9.05025,9.87559,10.8275
XLOC_001837,Ca_00175,85.4876,58.7765,196.973,64.3536
XLOC_001838,Ca_00176,152.075,87.3545,131.16,179.106
XLOC_001839,Ca_00177,111.523,102.809,107.756,141.975
XLOC_000238,Ca_00178,15.19,21.0776,20.2947,22.1344
XLOC_000239,Ca_00179,17.5309,7.26993,24.5776,7.24379
XLOC_001840,Ca_00180,12.0886,11.0946,11.2304,14.3791
XLOC_000240,Ca_00181,13.0023,17.2082,17.6888,26.7223
XLOC_000241,Ca_00182,7.59882,8.50934,9.25975,7.05227
XLOC_000242,Ca_00183,0.0,0.0,0.0,0.0
XLOC_001841,Ca_00184,4.01331,4.57735,3.12902,2.46429
XLOC_001842,Ca_00185,87.1616,74.0505,76.7432,86.0581
XLOC_000243,Ca_00186,19.2614,19.2015,14.9348,16.8722
XLOC_000244,Ca_00187,21.0852,12.2181,13.6919,12.4848
XLOC_000245,Ca_00188,6.76269,8.72422,13.3286,10.6561
XLOC_000246,Ca_00189,36.6022,41.0569,44.3316,40.4047
XLOC_001843,Ca_00190,2.44005,2.15991,4.10213,2.53474
XLOC_000247,Ca_00191,0.0641091,0.0233419,0.0343791,0.162647
XLOC_000248,Ca_00192,13.5213,12.2836,11.5288,11.7702
XLOC_001844,Ca_00193,2.87382,7.0737,3.13375,4.17901
XLOC_000249,Ca_00194,88.1072,55.9654,94.2183,85.6105
XLOC_000250,Ca_00195,13.8784,3.77577,12.839,9.05295
XLOC_000251,Ca_00196,24.8532,5.31407,10.0401,1.08691
XLOC_000252,Ca_00197,0.0,0.0,0.0,0.0
XLOC_001845,Ca_00198,0.0,0.0,0.0,0.0
XLOC_000253,Ca_00199,0.0,0.0,0.0,0.0
XLOC_000254,Ca_00200,0.0,0.0,0.0,0.0
XLOC_000255,Ca_00201,331.864,252.423,196.24,188.14
XLOC_001846,Ca_00202,431.446,224.383,373.752,251.869
XLOC_001847,Ca_00203,7.29018,6.06224,8.1828,6.78389
XLOC_000255,Ca_00204,331.864,252.423,196.24,188.14
XLOC_001848,Ca_00205,3.45701,3.44182,2.12802,3.60725
XLOC_001849,Ca_00206,11.8216,10.7272,10.3211,16.4698
XLOC_000256,Ca_00207,1.74106,2.34269,2.96064,2.59199
XLOC_000257,Ca_00208,0.0,0.0,0.0,0.0
XLOC_000258,Ca_00209,0.0,0.0,0.0,0.0
XLOC_000259,Ca_00210,1.66889,2.93979,1.7036,2.50862
XLOC_001850,Ca_00211,37.6492,25.3669,39.8717,32.4729
XLOC_001851,Ca_00212,66.672,45.9269,55.8856,61.7405
XLOC_001852,Ca_00213,33.5806,34.9228,30.2094,31.5526
XLOC_000260,Ca_00214,6.31672,9.06703,28.9285,9.2268
XLOC_001853,Ca_00215,2521.26,2114.84,1513.78,2537.3
XLOC_001853,Ca_00216,2521.26,2114.84,1513.78,2537.3
XLOC_001853,Ca_00217,2521.26,2114.84,1513.78,2537.3
XLOC_000261,Ca_00218,4.66037,7.86695,7.98309,7.76032
XLOC_001854,Ca_00219,15.0024,19.8922,21.6473,14.3885
XLOC_001855,Ca_00220,5.11139,5.60178,15.1423,5.38461
XLOC_001856,Ca_00221,16.8177,12.4873,9.95593,15.1821
XLOC_000262,Ca_00222,1.09166,0.47113,0.689444,0.0
XLOC_001857,Ca_00223,134.045,121.66,120.715,131.15
XLOC_000263,Ca_00224,43.2945,38.3289,38.6034,42.7786
XLOC_000264,Ca_00225,22.2012,21.3354,23.8228,33.3094
XLOC_001858,Ca_00226,0.0,0.0,0.0,0.144786
XLOC_000265,Ca_00227,0.0821127,0.07333,0.0684276,0.112374
XLOC_000266,Ca_00228,0.0,0.0,0.0,0.0
XLOC_000267,Ca_00229,3.50455,5.37397,13.1255,21.5204
XLOC_000268,Ca_00230,22.289,17.1888,9.71958,3.51052
XLOC_001859,Ca_00231,14.6935,14.6092,14.6078,12.5889
XLOC_001860,Ca_00232,0.80591,2.35379,4.33437,1.81553
XLOC_001861,Ca_00233,10.3757,12.4831,8.14838,6.20199
XLOC_000269,Ca_00234,316.184,55.0399,135.977,109.346
XLOC_001862,Ca_00235,0.300783,0.338909,0.237088,0.959998
