Gene_identifier,Root-Control,Root-DS,Shoot-Control,Shoot-DS
Ca_00001,129.345,62.3321,54.9581,22.8119
Ca_00002,0.0,0.0,0.0,0.0
Ca_00003,89.4981,27.2471,98.2096,8.55491
Ca_00004,22.4533,18.6729,13.739,18.8906
Ca_00004,0.851815,0.418504,0.642646,0.839796
Ca_00005,0.469439,0.155218,0.284124,0.14865
Ca_00006,0.0,0.0,0.0,0.0
Ca_00007,0.0,0.0,0.0,0.0
Ca_00008,0.0,0.0,0.0,0.0
Ca_00009,0.0324868,0.0,0.0,0.131189
Ca_00010,0.0,0.0,0.0,0.0
Ca_00011,61.8319,57.4844,97.6369,65.5479
Ca_00012,8.5184,6.95863,3.2532,3.18728
Ca_00013,25.2623,24.9964,23.8884,32.2873
Ca_00014,5.39082,7.38972,5.38751,9.14815
Ca_00015,8.65817,7.95345,9.85349,5.09678
Ca_00016,6.65437,4.77954,12.3736,8.03874
Ca_00017,8.96448,11.4827,11.941,11.4928
Ca_00018,50.6749,58.7585,50.7842,46.4104
Ca_00019,3.92385,4.12068,5.43854,7.15127
Ca_00020,17.5472,13.2008,40.9676,59.6887
Ca_00021,32.0298,24.194,37.8158,12.6372
Ca_00022,25.3654,34.6223,127.558,66.6928
Ca_00023,36.1865,43.3338,52.4414,42.7031
Ca_00024,17.1089,24.0754,13.2724,20.1618
Ca_00025,21.9614,28.1988,11.8644,8.5405
Ca_00026,18.8224,17.8046,16.314,20.217
Ca_00027,96.635,165.149,178.36,61.2355
Ca_00028,0.0,0.122739,0.115945,0.181847
Ca_00029,43.1209,28.5683,38.5007,26.658
Ca_00030,2.88244,4.3481,0.995362,2.85263
Ca_00031,100.463,78.5877,1747.66,1098.44
Ca_00032,100.463,78.5877,1747.66,1098.44
Ca_00033,32.5267,52.7752,14.8131,19.1193
Ca_00034,6.11201,8.19808,11.3536,11.6326
Ca_00035,1.79117,2.12803,8.27246,2.59378
Ca_00036,63.9169,54.5494,22.124,89.941
Ca_00037,16.7291,19.9168,20.2554,24.3907
Ca_00038,2.17473,2.80179,0.992564,1.20456
Ca_00039,18.224,24.347,47.641,47.8474
Ca_00040,26.1143,20.1649,7.37488,13.328
Ca_00041,22.3153,18.4834,27.6786,16.6331
Ca_00042,1.84116,2.92699,3.48575,2.71522
Ca_00043,27.814,27.4084,22.1733,32.0852
Ca_00044,0.0366342,0.539001,0.141321,0.0884508
Ca_00045,0.0891438,0.514429,0.0,0.0
Ca_00046,33.4644,35.9366,40.8084,25.9003
Ca_00047,15.0441,17.0814,26.9161,27.9194
