Test-id,Gene,FPKM-SS-C,FPKM-SS-S,FPKM-ST-C,FPKM-ST-S
XLOC_000139,Ca_00001,0.0,0.0,0.0,0.0
XLOC_000140,Ca_00002,0.0,0.0,0.0,0.0
XLOC_000141,Ca_00003,35.458,31.2214,30.8502,32.4652
XLOC_001744,Ca_00004,18.5211,18.9441,24.0934,8.84291
XLOC_001745,Ca_00005,0.0,0.0,0.0,0.0
XLOC_000142,Ca_00006,56.3438,57.1914,54.4299,55.0836
XLOC_000143,Ca_00007,34.2146,30.847,36.3907,35.2825
XLOC_001746,Ca_00008,21.5477,20.3232,16.7354,23.0703
XLOC_001747,Ca_00009,8.17489,9.67445,5.48567,7.98606
XLOC_000144,Ca_00010,47.5965,52.0429,50.5367,52.7028
XLOC_000145,Ca_00011,25.7439,26.5626,24.5704,26.3915
XLOC_000146,Ca_00012,64.198,66.6157,61.1514,76.4722
XLOC_000147,Ca_00013,0.226,0.278239,0.0603304,0.333579
XLOC_000148,Ca_00014,10.8811,7.42857,17.5132,15.7778
XLOC_000149,Ca_00015,0.112367,0.0792264,0.212987,0.206664
XLOC_000150,Ca_00016,11.3752,8.49544,11.6924,13.4217
XLOC_000151,Ca_00017,14.6859,14.4771,16.6643,17.0703
XLOC_001749,Ca_00018,31.6318,33.1238,28.5164,28.7466
XLOC_000152,Ca_00019,411.061,433.779,470.279,493.01
XLOC_000153,Ca_00020,0.0,0.0,0.0401408,0.0224859
XLOC_001750,Ca_00021,15.5953,14.767,11.825,11.6429
XLOC_000154,Ca_00022,10.1948,13.0088,9.70784,13.047
XLOC_001751,Ca_00023,16.6242,16.1508,17.6628,16.2634
XLOC_000155,Ca_00024,32.7529,25.2184,24.6905,23.8562
XLOC_000156,Ca_00025,1.60877,0.73156,1.5117,0.818579
XLOC_001752,Ca_00026,86.5735,87.686,88.5977,103.837
XLOC_001753,Ca_00027,50.3777,48.7471,47.766,51.6432
XLOC_000157,Ca_00028,75.052,71.0813,73.3879,73.5864
XLOC_001754,Ca_00029,6.3036,6.52313,6.56609,6.1402
XLOC_001755,Ca_00030,37.8906,35.098,36.8892,38.865
XLOC_000158,Ca_00031,8.46422,7.53494,8.03659,8.94757
XLOC_001756,Ca_00032,7.85363,6.86097,8.48936,7.99576
XLOC_000159,Ca_00033,15.4968,15.904,14.3412,14.2128
XLOC_001757,Ca_00034,81.2163,82.3583,71.9202,68.9474
XLOC_000160,Ca_00035,20.2023,21.2184,17.0924,18.1388
XLOC_001758,Ca_00036,19.6743,19.4953,26.7761,24.4411
XLOC_001759,Ca_00037,39.7218,41.5461,38.0599,41.1183
XLOC_000161,Ca_00038,52.7572,50.5246,50.1215,51.2182
XLOC_000162,Ca_00039,34.6714,31.453,30.9393,34.7319
XLOC_001761,Ca_00040,57.5829,57.858,50.0946,68.0788
XLOC_000163,Ca_00041,22.3801,21.8607,22.0821,20.6603
XLOC_001760,Ca_00042,278.123,271.861,307.862,284.572
XLOC_000164,Ca_00043,0.084489,0.099327,0.0,0.0495532
XLOC_001762,Ca_00044,23.5995,22.7126,22.6255,22.5079
XLOC_001763,Ca_00045,40.3823,37.8408,43.3924,40.9915
XLOC_000165,Ca_00046,3.43521,3.15184,4.61145,2.91545
XLOC_001764,Ca_00047,21.6985,26.5284,34.4471,40.6574
XLOC_001765,Ca_00048,88.3604,94.5673,87.3638,87.869
XLOC_000166,Ca_00049,28.6789,32.3933,24.4905,30.8728
XLOC_001766,Ca_00050,11.5236,11.9262,11.2178,13.1561
XLOC_000167,Ca_00051,2.03602,1.56613,2.13602,1.64125
XLOC_001767,Ca_00052,7.35271,2.08717,0.0,5.08256
XLOC_001768,Ca_00053,52.2665,48.2786,40.7763,42.1562
XLOC_000168,Ca_00054,22.8978,25.2774,21.4503,24.6695
XLOC_001769,Ca_00055,4.09302,3.22288,4.58685,4.24409
XLOC_001770,Ca_00056,8.7402,9.12388,8.78977,9.91432
XLOC_001771,Ca_00057,32.1197,33.9194,32.8635,32.1602
XLOC_000169,Ca_00058,24.3422,24.4654,28.1114,27.8636
XLOC_001772,Ca_00059,3.02924,2.56178,2.34507,2.56424
XLOC_000170,Ca_00060,24.9703,26.6593,22.5622,24.4733
XLOC_001773,Ca_00061,0.0901798,0.0,0.0,0.0511503
XLOC_001774,Ca_00062,0.0,0.0,0.0,0.0
XLOC_000171,Ca_00063,36.3404,35.2612,27.9092,28.7478
XLOC_000172,Ca_00064,46.1143,36.4262,43.2789,40.4472
XLOC_000173,Ca_00065,21.2189,16.046,22.8895,21.8022
XLOC_000174,Ca_00066,10.2161,9.52037,10.0212,12.241
