Gene_identifier,Root-Control,Root-SS,Shoot-Control,Shoot-SS
Ca_00001,129.345,131.232,54.9581,73.1034
Ca_00002,0.0,0.0,0.0,0.0
Ca_00003,89.4981,69.7897,98.2096,21.6986
Ca_00004,22.4533,23.8337,13.739,19.1013
Ca_00004,0.851815,0.88849,0.642646,0.58849
Ca_00005,0.469439,0.0723927,0.284124,0.143737
Ca_00006,0.0,0.0,0.0,0.0
Ca_00007,0.0,0.0,0.0,0.0
Ca_00008,0.0,0.0,0.0,0.0
Ca_00009,0.0324868,0.0,0.0,0.0254799
Ca_00010,0.0,0.0,0.0,0.0
Ca_00011,61.8319,38.8287,97.6369,62.4371
Ca_00012,8.5184,6.0845,3.2532,3.13143
Ca_00013,25.2623,39.3626,23.8884,32.5306
Ca_00014,5.39082,8.62204,5.38751,7.14316
Ca_00015,8.65817,13.1637,9.85349,7.43999
Ca_00016,6.65437,4.43974,12.3736,8.63727
Ca_00017,8.96448,13.3,11.941,15.4658
Ca_00018,50.6749,45.5344,50.7842,53.3119
Ca_00019,3.92385,3.98212,5.43854,5.39539
Ca_00020,17.5472,15.5216,40.9676,54.8659
Ca_00021,32.0298,28.2108,37.8158,15.584
Ca_00022,25.3654,9.8464,127.558,84.2878
Ca_00023,36.1865,63.9303,52.4414,67.0924
Ca_00024,17.1089,26.5782,13.2724,18.7978
Ca_00025,21.9614,71.2051,11.8644,24.5475
Ca_00026,18.8224,29.345,16.314,20.5989
Ca_00027,96.635,61.3754,178.36,105.277
Ca_00028,0.0,0.028371,0.115945,0.147362
Ca_00029,43.1209,33.0704,38.5007,22.563
Ca_00030,2.88244,3.41552,0.995362,1.21543
Ca_00031,100.463,77.1944,1747.66,1490.07
Ca_00032,100.463,77.1944,1747.66,1490.07
Ca_00033,32.5267,37.3516,14.8131,19.9725
Ca_00034,6.11201,6.8727,11.3536,12.3514
Ca_00035,1.79117,1.59818,8.27246,2.57623
Ca_00036,63.9169,132.018,22.124,65.4313
Ca_00037,16.7291,36.1124,20.2554,34.693
Ca_00038,2.17473,8.07003,0.992564,1.04343
