Gene_id,Ref_gene_id,Locus,Stol-veg-CT_FPKM,Stol-veg-SS_FPKM,Ssen-veg-CT_FPKM,Ssen-veg-SS_FPKM,Stol-rep-CT_FPKM,Stol-rep-SS_FPKM,Ssen-rep-CT_FPKM,Ssen-rep-SS_FPKM
XLOC_000184,Ca_00001,Ca1:6258-7709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000185,Ca_00002,Ca1:13467-14325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000186,Ca_00003,Ca1:34866-38057,8.53099,3.55848,4.34851,7.5619,3.66024,2.60883,3.57166,3.81993
XLOC_001835,Ca_00004,Ca1:39424-49372,0.87402,0.111999,0.956651,0.112489,0.280267,1.08156,0.226655,1.10165
XLOC_001836,Ca_00005,Ca1:57985-58141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000188,Ca_00006,Ca1:66767-81649,14.738,9.4507,3.96854,7.31025,7.52866,8.62864,8.25965,6.21713
XLOC_000189,Ca_00007,Ca1:91400-111870,3.28809,3.48391,2.10746,2.85919,2.96116,4.65572,2.89556,2.5567
XLOC_001837,Ca_00008,Ca1:91400-111870,1.26291,1.11039,1.48486,1.79073,1.15632,2.35454,1.52838,1.70758
XLOC_001838,Ca_00009,Ca1:127329-129800,2.12889,4.61155,4.92099,5.11548,8.66596,15.3482,28.7585,12.7463
XLOC_000190,Ca_00010,Ca1:154377-160877,36.3234,10.2446,12.1732,15.6297,6.77923,7.87833,11.6281,9.24034
XLOC_000191,Ca_00011,Ca1:162232-162646,27.05,10.3873,0.258686,7.21731,2.19736,1.44745,3.74607,1.79517
XLOC_000192,Ca_00012,Ca1:165828-169055,87.3984,15.0286,50.629,33.7255,21.5977,10.461,16.4272,16.0927
XLOC_000193,Ca_00013,Ca1:172973-174056,0.0,0.0,0.00706338,0.0,0.0348296,0.0123648,0.0,0.0
XLOC_000194,Ca_00014,Ca1:183301-187528,0.836121,1.05806,0.678036,0.247503,1.41201,1.79728,0.592411,0.707833
XLOC_000195,Ca_00015,Ca1:195261-200841,0.0,0.00676133,0.00508551,0.00941134,0.00399196,0.00615843,0.00746786,0.0105125
XLOC_000196,Ca_00016,Ca1:202838-210042,0.23075,0.342329,0.720361,0.692095,0.495386,1.60361,0.228811,0.246034
XLOC_000197,Ca_00017,Ca1:213839-222751,2.94145,1.14954,0.74098,0.883357,1.60195,1.94759,1.12808,1.43612
XLOC_001840,Ca_00018,Ca1:224191-224992,28.9393,11.4479,6.63054,17.1521,4.66377,3.52702,10.4307,6.25304
XLOC_000198,Ca_00019,Ca1:229265-232363,602.154,159.823,116.049,240.093,77.2818,59.623,127.888,115.15
XLOC_000199,Ca_00020,Ca1:237877-240097,0.0,0.0,0.00234335,0.0,0.00723761,0.0144295,0.0,0.0089393
XLOC_001841,Ca_00021,Ca1:241033-244936,0.640724,0.857887,0.307996,0.967342,1.88412,3.02616,1.16376,0.991222
XLOC_000200,Ca_00022,Ca1:255612-257136,1.53078,1.47631,0.617182,0.775679,1.52066,2.76424,0.680534,1.18545
XLOC_001842,Ca_00023,Ca1:257457-263913,4.85296,2.61384,1.99142,2.31923,3.13385,2.42528,3.33835,2.91746
XLOC_000201,Ca_00024,Ca1:264203-267219,0.560619,1.22178,1.64469,1.04414,1.66997,1.14898,0.316525,0.937703
XLOC_000201,Ca_00025,Ca1:264203-267219,0.560619,1.22178,1.64469,1.04414,1.66997,1.14898,0.316525,0.937703
XLOC_001843,Ca_00026,Ca1:267758-271240,108.159,36.2891,30.6366,43.3696,15.4428,10.3716,20.7411,16.911
XLOC_001844,Ca_00027,Ca1:273291-279295,19.4496,10.554,8.67462,12.8936,6.14697,7.40837,9.66586,6.84838
XLOC_000202,Ca_00028,Ca1:289162-294056,36.4091,16.4791,14.8144,14.6108,11.5979,7.6459,10.8861,8.08648
XLOC_001845,Ca_00029,Ca1:295998-299552,0.330237,0.27052,0.0545786,0.637767,0.455848,0.983723,0.312235,0.29443
XLOC_001846,Ca_00030,Ca1:301064-311929,3.42962,3.43615,4.92878,3.59497,3.95299,5.85379,3.48138,4.5606
XLOC_000203,Ca_00031,Ca1:301064-311929,2.73106,1.42555,0.372754,1.62538,0.685713,1.04826,0.844082,0.662284
XLOC_001847,Ca_00032,Ca1:313368-325173,1.26166,1.05933,0.733006,1.0139,1.00909,1.17907,0.680728,0.947558
