Transcript id,LOC id
Ca_00001,LOC101511858
Ca_00002,LOC101493475
Ca_00003,LOC101488545
Ca_00004,LOC101496413
Ca_00005,LOC101493975
Ca_00006,LOC101489113
Ca_00007,LOC101490835
Ca_00008,LOC101506378
Ca_00009,LOC101491788
Ca_00010,ARF1
Ca_00012,LOC101493009
Ca_00013,LOC101493341
Ca_00014,LOC101494203
Ca_00015,LOC101497982
Ca_00016,LOC101495256
Ca_00017,LOC101495256
Ca_00018,LOC101495904
Ca_00019,LOC101496237
Ca_00020,LOC101498310
Ca_00021,LOC101496787
Ca_00022,LOC101497105
Ca_00023,LOC101497437
Ca_00025,LOC101498970
Ca_00026,LOC101499290
Ca_00027,LOC101499607
Ca_00028,LOC101499912
Ca_00029,LOC101500248
Ca_00030,LOC101500988
Ca_00031,LOC101502263
Ca_00032,LOC101503095
Ca_00033,LOC101503647
Ca_00034,LOC101504194
Ca_00035,LOC101504524
Ca_00036,LOC101505150
Ca_00037,LOC101505466
Ca_00038,LOC101505803
Ca_00039,LOC101506118
Ca_00040,LOC101506448
Ca_00041,LOC101506773
Ca_00042,LOC101507109
Ca_00043,LOC101499295
Ca_00044,LOC101507429
Ca_00045,LOC101507736
Ca_00046,LOC101508058
Ca_00047,LOC101508579
Ca_00048,LOC101508893
Ca_00049,LOC101509430
Ca_00050,LOC101509757
Ca_00051,LOC101510078
Ca_00052,LOC101512103
Ca_00053,LOC101512103
Ca_00054,LOC101512432
Ca_00055,LOC101512752
Ca_00056,LOC101513079
Ca_00057,LOC101513407
Ca_00058,LOC101513720
Ca_00059,LOC101493664
Ca_00060,LOC101514383
Ca_00061,LOC101514711
Ca_00062,LOC113783972
Ca_00063,LOC101515035
Ca_00064,LOC101515358
Ca_00065,LOC101515691
Ca_00066,LOC101489003
Ca_00067,LOC101499917
Ca_00068,LOC101490088
Ca_00069,LOC101490633
Ca_00070,LOC101490959
Ca_00071,LOC101491272
Ca_00072,LOC101491593
Ca_00073,LOC101500571
Ca_00074,LOC101491904
Ca_00075,LOC101492452
Ca_00076,LOC101500885
Ca_00077,LOC101493011
Ca_00078,LOC101493664
Ca_00079,LOC101493343
Ca_00080,LOC101494299
Ca_00081,LOC101494610
Ca_00082,LOC101501212
Ca_00083,LOC101494923
Ca_00084,LOC101495257
Ca_00085,LOC101495578
Ca_00086,LOC101501526
Ca_00087,LOC101495905
Ca_00088,LOC101496238
Ca_00089,LOC101496562
Ca_00090,LOC101496886
Ca_00092,LOC101497439
Ca_00093,LOC101497773
Ca_00094,LOC101498095
Ca_00095,LOC101498432
Ca_00096,LOC101498768
Ca_00098,LOC101501842
Ca_00099,LOC101502165
Ca_00100,LOC101499714
Ca_00101,LOC101500249
Ca_00102,LOC101500563
Ca_00103,LOC101501090
Ca_00104,LOC101501721
Ca_00105,LOC101502378
Ca_00107,LOC101503097
Ca_00108,LOC101503648
Ca_00109,LOC101514165
Ca_00110,LOC101504195
Ca_00111,NAC01
Ca_00112,UGT85J2
Ca_00113,UGT91H7
Ca_00114,UGT91H8
Ca_00115,LOC101506119
Ca_00116,LOC101506449
Ca_00117,LOC101506774
Ca_00118,LOC101507110
Ca_00119,LOC101507430
Ca_00120,LOC101507944
Ca_00121,LOC101508788
Ca_00122,LOC101509107
Ca_00123,LOC101509645
Ca_00124,LOC101509972
Ca_00125,LOC101510290
Ca_00126,LOC101502784
Ca_00127,LOC101510618
